Label (header)
Primary production
Other production
Production
Imports
Stock draw
Statistical difference - inflow
Available from all sources
Direct carry-over
Available after transformation
Transformation losses
Transformation
Final Consumption
Direct use
Distribution and transmission losses
Consumption of the energy branch
Marine bunkers
Exports
Stock build
Statistical difference - outflow
